"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"227","Mixed drink","high-proof alcohol",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"1 pint (~13 parts) beer","Flaming Doctor Pepper","pint  beer"
"228","Mixed drink","amaretto",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"1 pint (~13 parts) beer","Flaming Doctor Pepper","pint  beer"
"229","Mixed drink","beer",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"3 parts Amaretto","Flaming Doctor Pepper","amaretto"
"230","Mixed drink","high-proof alcohol",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"3 parts Amaretto","Flaming Doctor Pepper","amaretto"
"231","Mixed drink","amaretto",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"3 parts Amaretto","Flaming Doctor Pepper","amaretto"
"232","Mixed drink","beer",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"1 part high-proof liquor","Flaming Doctor Pepper","highproof liquor"
"233","Mixed drink","high-proof alcohol",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"1 part high-proof liquor","Flaming Doctor Pepper","highproof liquor"
"234","Mixed drink","amaretto",NA,NA,"A pub glass and a shot glass.",NA,"Layer the two spirits in the shot glass, with the high-proof liquor on top.  Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",NA,"1 part high-proof liquor","Flaming Doctor Pepper","highproof liquor"
"235","Mixed drink","rum","Blended with ice (frozen style)","pineapple and/or orange quarter slices, maraschino cherries","Special: volcano bowl",NA,"Combine ingredients except overproof rum with 2 scoops of crushed ice in a blender. Pour, and place small amount of overproof rum into volcano and carefully light.",NA,"1 US fluid ounce (30 ml) light rum","Flaming volcano","rum"
"236","Mixed drink","rum","Blended with ice (frozen style)","pineapple and/or orange quarter slices, maraschino cherries","Special: volcano bowl",NA,"Combine ingredients except overproof rum with 2 scoops of crushed ice in a blender. Pour, and place small amount of overproof rum into volcano and carefully light.",NA,"1 oz. brandy","Flaming volcano","brandy"
"237","Mixed drink","rum","Blended with ice (frozen style)","pineapple and/or orange quarter slices, maraschino cherries","Special: volcano bowl",NA,"Combine ingredients except overproof rum with 2 scoops of crushed ice in a blender. Pour, and place small amount of overproof rum into volcano and carefully light.",NA,"1 oz. overproof rum","Flaming volcano","rum"
"238","Mixed drink","rum","Blended with ice (frozen style)","pineapple and/or orange quarter slices, maraschino cherries","Special: volcano bowl",NA,"Combine ingredients except overproof rum with 2 scoops of crushed ice in a blender. Pour, and place small amount of overproof rum into volcano and carefully light.",NA,"4 US fluid ounces (120 ml) orange juice","Flaming volcano","orange juice"
"239","Mixed drink","rum","Blended with ice (frozen style)","pineapple and/or orange quarter slices, maraschino cherries","Special: volcano bowl",NA,"Combine ingredients except overproof rum with 2 scoops of crushed ice in a blender. Pour, and place small amount of overproof rum into volcano and carefully light.",NA,"2 US fluid ounces (60 ml) lemon juice, unsweetened","Flaming volcano","lemon juice"
"240","Mixed drink","rum","Blended with ice (frozen style)","pineapple and/or orange quarter slices, maraschino cherries","Special: volcano bowl",NA,"Combine ingredients except overproof rum with 2 scoops of crushed ice in a blender. Pour, and place small amount of overproof rum into volcano and carefully light.",NA,"2 oz. orgeat syrup","Flaming volcano","syrup"
"241","Cocktail","brandy","Straight up; without ice","Lemon","Cocktail glass",NA,"Stir together with ice, strain into glass, garnish with a twisted lemon rind",NA,"Three parts Brandy","Four Score","brandy"
"242","Cocktail","brandy","Straight up; without ice","Lemon","Cocktail glass",NA,"Stir together with ice, strain into glass, garnish with a twisted lemon rind",NA,"Two parts Lillet","Four Score","lillet"
"243","Cocktail","brandy","Straight up; without ice","Lemon","Cocktail glass",NA,"Stir together with ice, strain into glass, garnish with a twisted lemon rind",NA,"One part Yellow Chartreuse","Four Score","yellow chartreuse"
"244","Cocktail","cognac","On the rocks; poured over ice",NA,"Old Fashioned glass","3.5cl Cognac","Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.","After dinner",NA,"French Connection","cognac"
"245","Cocktail","cognac","On the rocks; poured over ice",NA,"Old Fashioned glass","3.5cl Amaretto liqueur","Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.","After dinner",NA,"French Connection","amaretto"
"246","Cocktail","gin","straight or on the rocks","Lime","Cocktail glass",NA,"Mix and serve. Garnish with a slice of lime",NA,"Two parts gin","Gimlet","gin"
"247","Cocktail","vodka","straight or on the rocks","Lime","Cocktail glass",NA,"Mix and serve. Garnish with a slice of lime",NA,"Two parts gin","Gimlet","gin"
"248","Cocktail","gin","straight or on the rocks","Lime","Cocktail glass",NA,"Mix and serve. Garnish with a slice of lime",NA,"One part sweetened lime juice","Gimlet","lime juice"
"249","Cocktail","vodka","straight or on the rocks","Lime","Cocktail glass",NA,"Mix and serve. Garnish with a slice of lime",NA,"One part sweetened lime juice","Gimlet","lime juice"
"250","Cocktail","gin","straight or on the rocks","Lime","Cocktail glass",NA,"Mix and serve. Garnish with a slice of lime",NA,"Soda","Gimlet","soda"
"251","Cocktail","vodka","straight or on the rocks","Lime","Cocktail glass",NA,"Mix and serve. Garnish with a slice of lime",NA,"Soda","Gimlet","soda"
"252","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into champagne cocktail glass, and fill with champagne.",NA,"3 parts Orange juice","Golden Doublet","orange juice"
"253","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into champagne cocktail glass, and fill with champagne.",NA,"1 part Lime Juice","Golden Doublet","lime juice"
"254","Cocktail",NA,"Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into champagne cocktail glass, and fill with champagne.",NA,"1 part Grand Marnier","Golden Doublet","grand marnier"
"255","Mixed drink",NA,"stirred",NA,"Mug",NA,"Pour the tea into a cup. Pour the rum in and stir.",NA,"1 cup of black tea1 shot of rum","Gunfire","rum"
"256","Cocktail","vodka","On the rocks; poured over ice","orange slice","Highball glass",NA,"Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.",NA,"2.5cl (1 part) Vodka","Harrogate Nights","vodka"
"257","Cocktail","vodka","On the rocks; poured over ice","orange slice","Highball glass",NA,"Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.",NA,"1.25cl (1/2 part) Archers (Peach Schnapps)","Harrogate Nights","archers"
"258","Cocktail","vodka","On the rocks; poured over ice","orange slice","Highball glass",NA,"Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.",NA,"1.25cl (1/2 part) Malibu","Harrogate Nights","malibu"
"259","Cocktail","vodka","On the rocks; poured over ice","orange slice","Highball glass",NA,"Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.",NA,"2.5cl (1 part) Fresh Orange Juice","Harrogate Nights","orange juice"
"260","Cocktail","vodka","On the rocks; poured over ice","orange slice","Highball glass",NA,"Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.",NA,"2.5cl (1 part) Fresh Pineapple Juice","Harrogate Nights","pineapple juice"
"261","Cocktail","vodka","On the rocks; poured over ice","orange slice","Highball glass",NA,"Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.",NA,"","Harrogate Nights",""
"262","Cocktail","vodka","On the rocks; poured over ice","orange slice","Highball glass",NA,"Fill a Highball glass with ice then add a dash of cranberry juice. Add the rest of the ingredients to the Boston glass, shake and strain into the Highball glass. Garnish and serve.",NA,"dash of Fresh Cranberry Juice","Harrogate Nights","cranberry juice"
"263","Mixed drink","vodka","On the rocks; poured over ice","orange slice and maraschino cherry","Highball glass","4.5 cl (3 parts) Vodka","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top.  Garnish and serve.","All day",NA,"Harvey Wallbanger","vodka"
"264","Mixed drink","vodka","On the rocks; poured over ice","orange slice and maraschino cherry","Highball glass","1.5 cl (1 part) Galliano","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top.  Garnish and serve.","All day",NA,"Harvey Wallbanger","galliano"
"265","Mixed drink","vodka","On the rocks; poured over ice","orange slice and maraschino cherry","Highball glass","9 cl(6 parts) fresh orange juice","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top.  Garnish and serve.","All day",NA,"Harvey Wallbanger","orange juice"
"266","Mixed drink","brandy","On the rocks; poured over ice","Long spiral of lemon zest","Highball glass","4 cL (1 part) Brandy","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",NA,NA,"Horse's Neck","brandy"
"267","Mixed drink","brandy","On the rocks; poured over ice","Long spiral of lemon zest","Highball glass","12 cL (3 parts) Ginger ale","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",NA,NA,"Horse's Neck","gin"
"268","Mixed drink","brandy","On the rocks; poured over ice","Long spiral of lemon zest","Highball glass","Dash of Angostura bitter (optional)","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",NA,NA,"Horse's Neck","bitters"
"269","Cocktail","whiskey","On the rocks; poured over ice",NA,"Highball glass",NA,"Fill a highball glass 3/4 with ice. Pour in ingredients and stir.",NA,"1.5 US fluid ounces (44 ml) rye whiskey or blended whiskey","Horsefeather","whiskey"
"270","Cocktail","whiskey","On the rocks; poured over ice",NA,"Highball glass",NA,"Fill a highball glass 3/4 with ice. Pour in ingredients and stir.",NA,"4.0 US fluid ounces (120 ml) ginger beer","Horsefeather","gin"
"271","Cocktail","whiskey","On the rocks; poured over ice",NA,"Highball glass",NA,"Fill a highball glass 3/4 with ice. Pour in ingredients and stir.",NA,"3 dashes Angostura bitters","Horsefeather","bitters"
"272","Cocktail","whiskey","On the rocks; poured over ice",NA,"Highball glass",NA,"Fill a highball glass 3/4 with ice. Pour in ingredients and stir.",NA,"squirt of lemon juice","Horsefeather","squirt  lemon juice"
"273","Mixed drink",NA,NA,NA,"Coffee cup",NA,NA,NA,"Rum, butter, hot water or cider, sweetener and spices","Hot buttered rum","rum"
"274","Cocktail","rum","""On the rocks""; poured over ice",NA,"hurricane lamp–shaped glass",NA,"Shake ingredients with ice, then pour into the glass and serve over ice.",NA,"One part dark rum","Hurricane","rum"
"275","Cocktail","rum","""On the rocks""; poured over ice",NA,"hurricane lamp–shaped glass",NA,"Shake ingredients with ice, then pour into the glass and serve over ice.",NA,"One part white rum","Hurricane","rum"
"276","Cocktail","rum","""On the rocks""; poured over ice",NA,"hurricane lamp–shaped glass",NA,"Shake ingredients with ice, then pour into the glass and serve over ice.",NA,"Half part over proofed rum","Hurricane","rum"
"277","Cocktail","rum","""On the rocks""; poured over ice",NA,"hurricane lamp–shaped glass",NA,"Shake ingredients with ice, then pour into the glass and serve over ice.",NA,"Passion fruit syrup","Hurricane","syrup"
"278","Cocktail","rum","""On the rocks""; poured over ice",NA,"hurricane lamp–shaped glass",NA,"Shake ingredients with ice, then pour into the glass and serve over ice.",NA,"Lemon juice","Hurricane","lemon juice"
"279","Cocktail","cognac","On the rocks; poured over ice",NA,"Cocktail glass",NA,"Stir together and serve over ice.",NA,"One part hpnotiq","Incredible Hulk","hpnotiq"
"280","Cocktail","cognac","On the rocks; poured over ice",NA,"Cocktail glass",NA,"Stir together and serve over ice.",NA,"One part cognac","Incredible Hulk","cognac"
"281","Mixed drink","whiskey","Hot",NA,"Irish coffee mug","4 cl (2 parts) Irish whiskey","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",NA,NA,"Irish Coffee","whiskey"
"282","Mixed drink","whiskey","Hot",NA,"Irish coffee mug","8 cl (4 parts) hot coffee","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",NA,NA,"Irish Coffee","coffee"
"283","Mixed drink","whiskey","Hot",NA,"Irish coffee mug","3 cl (1½ parts) fresh cream","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",NA,NA,"Irish Coffee","cream"
"284","Mixed drink","whiskey","Hot",NA,"Irish coffee mug","1 tsp brown sugar","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",NA,NA,"Irish Coffee","sugar"
"285","Cocktail","brandy","Straight up; without ice","cherry, apple slice","Cocktail glass",NA,"Traditionally shaken into a chilled glass, garnished, and served straight up.",NA,"2 parts applejack","Jack Rose","applejack"
"286","Cocktail","brandy","Straight up; without ice","cherry, apple slice","Cocktail glass",NA,"Traditionally shaken into a chilled glass, garnished, and served straight up.",NA,"1 part lemon or lime juice","Jack Rose","lemon  lime juice"
"287","Cocktail","brandy","Straight up; without ice","cherry, apple slice","Cocktail glass",NA,"Traditionally shaken into a chilled glass, garnished, and served straight up.",NA,"1/2 part grenadine","Jack Rose","grenadine"
"288","Cocktail","whiskey","On the rocks; poured over ice",NA,"Collins glass",NA,"Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with Coca-Cola.  Stir lightly.",NA,"1 part Jack Daniel's Tennessee Whiskey","Jack and Coke","whiskey"
"289","Cocktail","whiskey","On the rocks; poured over ice",NA,"Collins glass",NA,"Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with Coca-Cola.  Stir lightly.",NA,"3-5 parts Coca-Cola (strength dependent)","Jack and Coke","cola"
"290","Cocktail","whiskey","On the rocks; poured over ice",NA,"Collins glass",NA,"Pour Jack Daniel's into Collins glass filled with ice.  Fill to desired level with Coca-Cola.  Stir lightly.",NA,"Ice","Jack and Coke","ice"
"291","Mixed drink","tequila","On the rocks; poured over ice","Lime wedge and maraschino cherry","Collins glass",NA,"Pour the tequila, lemon juice, and nectar into a collins glass over ice, stir. Add splash of club soda and garnish with lime and cherry.[20]",NA,"1 1/2 ounces tequila","Juan Collins","tequila"
"292","Mixed drink","tequila","On the rocks; poured over ice","Lime wedge and maraschino cherry","Collins glass",NA,"Pour the tequila, lemon juice, and nectar into a collins glass over ice, stir. Add splash of club soda and garnish with lime and cherry.[20]",NA,"1 ounce lemon juice","Juan Collins","lemon juice"
"293","Mixed drink","tequila","On the rocks; poured over ice","Lime wedge and maraschino cherry","Collins glass",NA,"Pour the tequila, lemon juice, and nectar into a collins glass over ice, stir. Add splash of club soda and garnish with lime and cherry.[20]",NA,"1/2 ounce agave nectar (or 1 tsp. superfine sugar or 3/4 oz. cane syrup)","Juan Collins","agave nectar"
"294","Mixed drink","tequila","On the rocks; poured over ice","Lime wedge and maraschino cherry","Collins glass",NA,"Pour the tequila, lemon juice, and nectar into a collins glass over ice, stir. Add splash of club soda and garnish with lime and cherry.[20]",NA,"Splash club soda","Juan Collins","splash club soda"
"295","Mixed drink",NA,NA,NA,"A pub glass and a shot glass.",NA,NA,NA,NA,"Jägerbomb",NA
"296","Cocktail","vodka","Straight up; without ice","Lime slice","Cocktail glass","3 cl vodka","Shake all ingredients together with ice. Strain into glass, garnish and serve.","All Day",NA,"Kamikaze","vodka"
"297","Cocktail","triple sec","Straight up; without ice","Lime slice","Cocktail glass","3 cl vodka","Shake all ingredients together with ice. Strain into glass, garnish and serve.","All Day",NA,"Kamikaze","vodka"
"298","Cocktail","vodka","Straight up; without ice","Lime slice","Cocktail glass","3 cl triple sec","Shake all ingredients together with ice. Strain into glass, garnish and serve.","All Day",NA,"Kamikaze","triple sec"
"299","Cocktail","triple sec","Straight up; without ice","Lime slice","Cocktail glass","3 cl triple sec","Shake all ingredients together with ice. Strain into glass, garnish and serve.","All Day",NA,"Kamikaze","triple sec"
"300","Cocktail","vodka","Straight up; without ice","Lime slice","Cocktail glass","3 cl lime juice","Shake all ingredients together with ice. Strain into glass, garnish and serve.","All Day",NA,"Kamikaze","lime juice"
"301","Cocktail","triple sec","Straight up; without ice","Lime slice","Cocktail glass","3 cl lime juice","Shake all ingredients together with ice. Strain into glass, garnish and serve.","All Day",NA,"Kamikaze","lime juice"
"302","Cocktail","vodka","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Passion Fruit Juice","Kensington Court Special","passion fruit juice"
"303","Cocktail","vodka","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Lime Juice","Kensington Court Special","lime juice"
"304","Cocktail","vodka","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"1 part Apricot Brandy","Kensington Court Special","brandy"
"305","Cocktail","vodka","Straight up; without ice",NA,"Cocktail glass",NA,"Shake ingredients together with ice, and strain into a cocktail glass.",NA,"3 parts Vodka","Kensington Court Special","vodka"
"306","Mixed drink","vodka","Straight up; without ice","Lemon slice","Martini glass","2.5 cl vodka citron","Shake and strain into a chilled cocktail glass rimmed with sugar.","All Day",NA,"Lemon drop martini","vodka citron"
"307","Mixed drink","vodka","Straight up; without ice","Lemon slice","Martini glass","2 cl triple sec","Shake and strain into a chilled cocktail glass rimmed with sugar.","All Day",NA,"Lemon drop martini","triple sec"
"308","Mixed drink","vodka","Straight up; without ice","Lemon slice","Martini glass","1.5 cl lemon juice","Shake and strain into a chilled cocktail glass rimmed with sugar.","All Day",NA,"Lemon drop martini","lemon juice"
"309","Cocktail","vodka","On the rocks; poured over ice",NA,"Cocktail glass",NA,"Shake well, serve on the rocks.",NA,"1 part Southern Comfort","Link Up","southern comfort"
"310","Cocktail","vodka","On the rocks; poured over ice",NA,"Cocktail glass",NA,"Shake well, serve on the rocks.",NA,"1 part Russian Vodka","Link Up","vodka"
"311","Cocktail","vodka","On the rocks; poured over ice",NA,"Cocktail glass",NA,"Shake well, serve on the rocks.",NA,"Teaspoon of fresh Lime Juice","Link Up","lime juice"
"312","Cocktail","gin","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Tequila","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","tequila"
"313","Cocktail","tequila","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Tequila","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","tequila"
"314","Cocktail","vodka","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Tequila","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","tequila"
"315","Cocktail","rum","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Tequila","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","tequila"
"316","Cocktail","triple sec","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Tequila","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","tequila"
"317","Cocktail","gin","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Vodka","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","vodka"
"318","Cocktail","tequila","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Vodka","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","vodka"
"319","Cocktail","vodka","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Vodka","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","vodka"
"320","Cocktail","rum","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Vodka","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","vodka"
"321","Cocktail","triple sec","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Vodka","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","vodka"
"322","Cocktail","gin","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  White rum","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","rum"
"323","Cocktail","tequila","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  White rum","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","rum"
"324","Cocktail","vodka","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  White rum","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","rum"
"325","Cocktail","rum","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  White rum","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","rum"
"326","Cocktail","triple sec","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  White rum","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","rum"
"327","Cocktail","gin","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Triple sec","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","triple sec"
"328","Cocktail","tequila","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Triple sec","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","triple sec"
"329","Cocktail","vodka","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Triple sec","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","triple sec"
"330","Cocktail","rum","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Triple sec","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","triple sec"
"331","Cocktail","triple sec","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Triple sec","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","triple sec"
"332","Cocktail","gin","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Gin","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","gin"
"333","Cocktail","tequila","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Gin","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","gin"
"334","Cocktail","vodka","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Gin","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","gin"
"335","Cocktail","rum","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Gin","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","gin"
"336","Cocktail","triple sec","On the rocks; poured over ice",NA,"Highball glass","1.5 cl  Gin","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","gin"
"337","Cocktail","gin","On the rocks; poured over ice",NA,"Highball glass","2.5 cl  Lemon juice","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","lemon juice"
"338","Cocktail","tequila","On the rocks; poured over ice",NA,"Highball glass","2.5 cl  Lemon juice","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","lemon juice"
"339","Cocktail","vodka","On the rocks; poured over ice",NA,"Highball glass","2.5 cl  Lemon juice","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","lemon juice"
"340","Cocktail","rum","On the rocks; poured over ice",NA,"Highball glass","2.5 cl  Lemon juice","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","lemon juice"
"341","Cocktail","triple sec","On the rocks; poured over ice",NA,"Highball glass","2.5 cl  Lemon juice","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","lemon juice"
"342","Cocktail","gin","On the rocks; poured over ice",NA,"Highball glass","3.0 cl  Gomme Syrup","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","syrup"
"343","Cocktail","tequila","On the rocks; poured over ice",NA,"Highball glass","3.0 cl  Gomme Syrup","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","syrup"
"344","Cocktail","vodka","On the rocks; poured over ice",NA,"Highball glass","3.0 cl  Gomme Syrup","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","syrup"
"345","Cocktail","rum","On the rocks; poured over ice",NA,"Highball glass","3.0 cl  Gomme Syrup","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","syrup"
"346","Cocktail","triple sec","On the rocks; poured over ice",NA,"Highball glass","3.0 cl  Gomme Syrup","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","syrup"
"347","Cocktail","gin","On the rocks; poured over ice",NA,"Highball glass","1 dash of Coke","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","cola"
"348","Cocktail","tequila","On the rocks; poured over ice",NA,"Highball glass","1 dash of Coke","Add all ingredients into highball glass filled with ice. Stir gently. Garnish with lemon spiral. Serve with straw.[1]",NA,NA,"Long Island Iced Tea","cola"
