"","Type","Primary alcohol by volume","Served","Standard garnish","Standard drinkware","IBA specifiedingredients","Preparation","Timing","Commonly used ingredients","cocktailName","ingredientList"
"31","Cocktail","rum","Straight up; without ice","Lime","Cocktail glass","1 cl grenadine syrup","Shake together with ice.  Strain into glass and serve","Before dinner",NA,"Bacardi cocktail","syrup"
"32","Cocktail","sambuca","Straight up; without ice","Cinnamon","Shot glass",NA,"The preparation of this drink is complex, and is explained below.",NA,"Grand Marnier","Backdraft","grand marnier"
"33","Cocktail","sambuca","Straight up; without ice","Cinnamon","Shot glass",NA,"The preparation of this drink is complex, and is explained below.",NA,"Drambuie","Backdraft","drambuie"
"34","Cocktail","sambuca","Straight up; without ice","Cinnamon","Shot glass",NA,"The preparation of this drink is complex, and is explained below.",NA,"Cinnamon","Backdraft","cinnamon"
"35","Cocktail","sambuca","Straight up; without ice","Cinnamon","Shot glass",NA,"The preparation of this drink is complex, and is explained below.",NA,"Ice","Backdraft","ice"
"36","Cocktail","wine","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"1 part cachaca","Batida","cachaca"
"37","Cocktail","cachaca","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"1 part cachaca","Batida","cachaca"
"38","Cocktail","wine","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"1 part water","Batida",""
"39","Cocktail","cachaca","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"1 part water","Batida",""
"40","Cocktail","wine","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"Sugar to taste","Batida","sugar"
"41","Cocktail","cachaca","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"Sugar to taste","Batida","sugar"
"42","Cocktail","wine","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"Peel of two oranges and a lime","Batida","peel   oranges   lime"
"43","Cocktail","cachaca","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"Peel of two oranges and a lime","Batida","peel   oranges   lime"
"44","Cocktail","wine","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"Cloves, cinnamon and ginger to taste","Batida","gin"
"45","Cocktail","cachaca","Hot","citrus peel","Mug",NA,"caramelize the sugar with the spices and peels, then add the liquids.  Boil for a few minutes then serve hot.",NA,"Cloves, cinnamon and ginger to taste","Batida","gin"
"46","Cocktail",NA,"On the rocks; poured over ice",NA,"Cocktail Glass",NA,"Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.",NA,"4oz. black rum","Bermuda Rum Swizzle","rum"
"47","Cocktail",NA,"On the rocks; poured over ice",NA,"Cocktail Glass",NA,"Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.",NA,"4oz. gold rum","Bermuda Rum Swizzle","rum"
"48","Cocktail",NA,"On the rocks; poured over ice",NA,"Cocktail Glass",NA,"Mix in pitcher with crushed ice, shake vigorously until a frothing head appears. Strain into cocktail glasses. Garnish with a slice of orange and a cherry. Serves 6.",NA,"Juice of 2 lemons","Bermuda Rum Swizzle","juice"
